Year	Month	State	Sale_RES	Sale_COM	Sale_IND	Sale_OTH	Sale_ALL
1990	8	TN	2661.62	1163.18	3228.95	69.88	7123.62
1990	8	TX	8850	5837.8	7492.96	873.86	23054.61
1990	8	UT	359.37	415.68	511.19	104.38	1390.62
1990	8	VA	2576.5	1994.69	1488.66	727.79	6787.64
1990	8	VT	131.95	127.89	118.92	2.68	381.44
1990	8	WA	1676.43	1437.94	3447.25	329.1	6890.72
1990	8	WI	1424.68	1201.38	1763.96	58.33	4448.34
1990	8	WV	602.51	444.36	882.3	6.96	1936.14
1990	8	WY	112.87	198.25	696.58	19.85	1027.54
1990	9	AK	109.26	155.1	33.19	11.66	309.22
1990	9	AL	2271.88	1030.11	2328.39	54.67	5685.05
1990	9	AR	1260.24	666.26	954.6	60.44	2941.54
1990	9	AZ	1629.62	1338.76	886.59	213.52	4068.49
1990	9	CA	5950.32	7405.93	4956.65	793.72	19106.61
1990	9	CO	733.32	1193.38	566.55	102.63	2595.88
1990	9	CT	824.51	923.22	527.22	28.92	2303.87
1990	9	DC	141.48	481.41	281.46	26.79	931.14
1990	9	DE	244.35	221.03	285.45	4.16	754.99
1990	9	FL	7369.61	4698.21	1410.04	426.98	13904.84
1990	9	GA	3117.6	2188.52	2308.76	74.6	7689.48
1990	9	HI	192.18	194.51	320.42	4.96	712.07
1990	9	IA	987	590.67	965.12	67.75	2610.54
1990	9	ID	367.86	446.83	605.73	20.74	1441.16
1990	9	IL	3319.64	2988.13	3334.83	627.57	10270.16
1990	9	IN	2005.79	1391.59	3089.35	49.33	6536.06
1990	9	KS	1166.41	913.53	719.26	34.99	2834.19
1990	9	KY	1470.06	829.92	2555.82	228.91	5084.71
1990	9	LA	2569.6	1410.14	2364.1	200.7	6544.54
1990	9	MA	1207.28	1572.63	868.67	83.93	3732.51
1990	9	MD	1688.83	970.12	1817.2	53.8	4529.96
1990	9	ME	281.86	229.24	416.34	14.69	942.13
1990	9	MI	2211.3	1838.02	3071.8	120.68	7241.81
1990	9	MN	1274.25	729.2	2010.98	67.68	4082.1
1990	9	MO	2080.57	1665.22	1101.49	74.74	4922.03
1990	9	MS	1417.62	686.95	1083.64	61.17	3249.38
1990	9	MT	232.57	236.87	529.57	30.96	1029.98
1990	9	NC	3237.72	2343.72	2853.65	159.6	8594.69
1990	9	ND	203.39	152.18	149.13	42.04	546.74
1990	9	NE	712.14	464.82	393.65	110.79	1681.4
1990	9	NH	256.56	174.67	297.71	8.74	737.68
1990	9	NJ	1749.2	2232.46	1261.08	38.71	5281.44
1990	9	NM	287.73	403.98	378.25	122.64	1192.59
1990	9	NV	497.03	347.36	533.58	68.06	1446.04
